dwa_id,seniority_group,mean_beta_hat,N_observations
4.A.1.a.1.I02.D14,5,-0.0009960537818662191,45
4.A.1.a.1.I02.D15,1,-0.02288007241317486,45
4.A.1.a.1.I02.D15,2,-0.0253417972820075,45
4.A.1.a.1.I02.D15,3,-0.034855792649820264,45
4.A.1.a.1.I02.D15,4,-0.03332246167434859,45
4.A.1.a.1.I02.D15,5,-0.021234297005271827,45
4.A.1.a.1.I02.D16,1,-0.014017028581116881,45
4.A.1.a.1.I02.D16,2,0.0015595076978413207,45
4.A.1.a.1.I02.D16,3,-0.02290693614015087,45
4.A.1.a.1.I02.D16,4,0.00010235179751374512,45
4.A.1.a.1.I02.D16,5,0.0003594829349085884,45
4.A.1.a.1.I03.D01,1,0.0006495677314950853,45
4.A.1.a.1.I03.D01,2,0.008305112164849358,45
4.A.1.a.1.I03.D01,3,-0.0006528265668931019,45
4.A.1.a.1.I03.D01,4,-0.004587275047082765,45
4.A.1.a.1.I03.D02,2,0.022528994299655287,45
4.A.1.a.1.I03.D03,1,-0.005989554013864747,45
4.A.1.a.1.I03.D03,2,0.03103995653074583,45
4.A.1.a.1.I03.D03,3,-0.047715306583754835,45
4.A.1.a.1.I03.D03,4,0.004416690123748208,45
4.A.1.a.1.I03.D03,5,0.04040667488972243,45
4.A.1.a.1.I03.D04,1,0.0007346365232671915,45
4.A.1.a.1.I03.D04,2,0.004989563715585836,45
4.A.1.a.1.I03.D04,3,-0.0067599691613748555,45
4.A.1.a.1.I03.D04,4,-0.003634583005505254,45
4.A.1.a.1.I03.D04,5,-0.012405111563529293,45
4.A.1.a.1.I03.D05,2,0.0261680737657309,45
4.A.1.a.1.I03.D05,3,0.027097305470441035,45
4.A.1.a.1.I03.D05,4,-0.013340677885843642,45
4.A.1.a.1.I03.D07,1,0.004918920271893629,45
4.A.1.a.1.I03.D07,2,0.055916045410852315,45
4.A.1.a.1.I04.D01,1,-0.0013941987723678803,45
4.A.1.a.1.I04.D01,2,0.020697557474095626,45
4.A.1.a.1.I04.D01,3,0.023729893182425514,45
4.A.1.a.1.I04.D01,4,0.027037326093801904,45
4.A.1.a.1.I04.D01,5,0.02302772471097704,45
4.A.1.a.1.I04.D04,1,-0.03090783967144188,45
4.A.1.a.1.I04.D04,2,-0.03743388001978649,45
4.A.1.a.1.I04.D04,3,-0.06900631026825431,45
4.A.1.a.1.I04.D04,4,-0.042488568089796265,45
4.A.1.a.1.I04.D04,5,-0.029190627805191056,45
4.A.1.a.1.I04.D05,2,-0.04373083518627556,45
4.A.1.a.1.I04.D07,1,-0.01607461400378689,45
4.A.1.a.1.I04.D07,2,-0.015077929355161092,45
4.A.1.a.1.I04.D07,3,-0.014647626294942387,45
4.A.1.a.1.I04.D07,4,-0.009560247144124966,45
4.A.1.a.1.I04.D07,5,0.016579744085638084,45
4.A.1.a.1.I04.D08,1,0.10173810837819346,45
4.A.1.a.1.I04.D08,2,0.028216947796715092,45
4.A.1.a.1.I04.D08,3,0.05226969052403439,45
4.A.1.a.1.I04.D08,4,-0.0033471480678265997,45
4.A.1.a.1.I05.D01,1,0.0409905249652569,45
4.A.1.a.1.I05.D01,2,0.019957629252504355,45
4.A.1.a.1.I05.D01,3,0.027219581846555027,45
4.A.1.a.1.I05.D01,4,0.011392295614954187,45
4.A.1.a.1.I05.D01,5,0.02545647739041896,45
4.A.1.a.1.I05.D02,1,0.040033990907540395,45
4.A.1.a.1.I05.D02,2,0.008637594075150514,45
4.A.1.a.1.I05.D02,3,0.002280867042940148,45
4.A.1.a.1.I05.D02,4,0.006540582421428254,45
4.A.1.a.1.I05.D02,5,0.020762578405603888,45
4.A.1.a.1.I06.D04,2,-0.006772126308374334,45
4.A.1.a.1.I06.D04,3,-0.017981322872181873,45
4.A.1.a.1.I06.D04,4,0.0025665619250568707,45
4.A.1.a.1.I06.D04,5,-0.0034198146468055364,45
4.A.1.a.1.I07.D01,1,1.3535168853672528e-05,45
4.A.1.a.1.I07.D01,2,-0.009244575916338997,45
4.A.1.a.1.I07.D01,3,0.00021616699299554945,45
4.A.1.a.1.I07.D01,4,0.01280608812360324,45
4.A.1.a.1.I07.D01,5,0.017945018279049672,45
4.A.1.a.1.I09.D02,2,0.013182191668546589,45
4.A.1.a.1.I09.D02,3,0.013556797434516682,45
4.A.1.a.1.I09.D02,4,0.006866876549743413,45
4.A.1.a.1.I09.D02,5,0.012417472536574426,45
4.A.1.a.1.I10.D05,2,-0.006110951467588595,45
4.A.1.a.1.I10.D05,3,0.030144742291839208,45
4.A.1.a.1.I10.D05,4,-0.01475917698926105,45
4.A.1.a.1.I10.D06,5,0.0014890744167244205,45
4.A.1.a.1.I12.D02,1,0.0128352914709222,45
4.A.1.a.1.I12.D02,2,-0.009727978961887722,45
4.A.1.a.1.I12.D02,3,0.06311061388373138,45
4.A.1.a.1.I12.D02,4,0.04002824955256167,45
4.A.1.a.1.I12.D03,1,0.09562322312030143,45
4.A.1.a.1.I12.D03,2,0.027560779603072034,45
4.A.1.a.1.I12.D03,3,0.07217797736609394,45
4.A.1.a.1.I12.D03,4,-0.006726605726216117,45
4.A.1.a.1.I12.D03,5,0.04404235658521128,45
4.A.1.a.1.I12.D04,1,0.015591549926142792,45
4.A.1.a.1.I12.D04,3,0.03827750603722925,45
4.A.1.a.1.I12.D04,4,0.0032288223538643086,45
4.A.1.a.1.I14.D01,2,-0.009205924362450631,45
4.A.1.a.1.I14.D01,3,-0.013735665758422286,45
4.A.1.a.1.I14.D01,4,0.008882103915791304,45
4.A.1.a.1.I14.D01,5,-0.0073081044773757355,45
4.A.1.a.1.I14.D02,1,0.006374579228064376,45
4.A.1.a.1.I14.D02,2,-0.0007842076979970098,45
4.A.1.a.1.I14.D02,3,-0.01287546996109944,45
4.A.1.a.1.I14.D02,4,0.006337962078318131,45
4.A.1.a.1.I14.D02,5,0.007549910468416994,45
4.A.1.a.1.I14.D03,1,-0.01026607324948698,45
4.A.1.a.1.I14.D03,2,-0.012080726738566862,45
4.A.1.a.1.I14.D03,3,-0.015005957353847394,45
4.A.1.a.1.I14.D03,4,-0.01069020199908252,45
4.A.1.a.1.I14.D03,5,-0.0005230949076084376,45
4.A.1.a.1.I14.D04,2,-0.03541480243852892,45
4.A.1.a.1.I14.D04,3,-0.02108487498318473,45
4.A.1.a.1.I14.D04,4,-0.0028723399145918335,45
4.A.1.a.1.I14.D04,5,0.000654694416938133,45
4.A.1.a.1.I15.D02,2,-0.004290254554353686,45
4.A.1.a.1.I15.D02,3,0.02514896857305352,45
4.A.1.a.1.I15.D02,4,0.017294485078817614,45
4.A.1.a.1.I15.D02,5,0.004616946150392057,45
4.A.1.a.1.I16.D01,2,-0.0420508142512275,45
4.A.1.a.1.I16.D01,3,0.029770814508543565,45
4.A.1.a.1.I16.D01,4,-0.005242622124149072,45
4.A.1.a.1.I16.D01,5,0.05364512381881624,45
4.A.1.a.1.I16.D02,2,-0.03063601745511676,45
4.A.1.a.1.I16.D02,3,0.03728469165238405,45
4.A.1.a.1.I16.D02,4,-0.0068802290559627525,45
4.A.1.a.1.I16.D02,5,0.038269649410246395,45
4.A.1.a.1.I16.D03,5,0.009691886858733565,45
4.A.1.a.1.I16.D04,1,0.015793226058483826,45
4.A.1.a.1.I16.D04,2,0.003397323452548623,45
4.A.1.a.1.I16.D04,3,0.026712739523960746,45
4.A.1.a.1.I16.D06,1,0.01572109370892642,45
4.A.1.a.1.I16.D06,2,0.011618735209659121,45
4.A.1.a.1.I17.D03,1,-0.010131091293660037,45
4.A.1.a.1.I18.D03,1,0.10015060105996375,45
4.A.1.a.1.I18.D03,2,0.02840488911489462,45
4.A.1.a.1.I18.D03,3,0.03429601896218269,45
4.A.1.a.1.I18.D03,4,-0.006427937438179944,45
4.A.1.a.1.I18.D03,5,0.00655017748590303,45
4.A.1.a.1.I19.D01,2,0.00937132622851614,45
4.A.1.a.1.I19.D01,3,0.023091442627862592,45
4.A.1.a.1.I19.D01,4,0.007088116620336049,45
4.A.1.a.1.I19.D01,5,0.011279768616628674,45
4.A.1.a.1.I20.D02,2,0.011731326457187342,45
4.A.1.a.1.I20.D02,3,0.024315230150397823,45
4.A.1.a.1.I20.D02,4,0.011461443719382153,45
4.A.1.a.1.I20.D02,5,0.014327615800356089,45
4.A.1.a.1.I20.D04,1,0.0031487750051854735,45
4.A.1.a.1.I20.D04,2,-0.0012486296673614881,45
4.A.1.a.1.I20.D04,3,-0.016854327561792965,45
4.A.1.a.1.I20.D04,4,-0.006993082578995561,45
4.A.1.a.1.I20.D04,5,-0.0017447607419187267,45
4.A.1.a.1.I20.D07,1,0.16111768116187183,45
4.A.1.a.1.I20.D07,2,0.019347242399406852,45
4.A.1.a.1.I20.D07,3,0.018342803998731068,45
4.A.1.a.1.I20.D07,4,-0.00861838442301863,45
4.A.1.a.1.I20.D07,5,0.015549206326807561,45
4.A.1.a.1.I20.D08,1,-0.025215218334283366,45
4.A.1.a.1.I20.D08,2,-0.025307127429481997,45
4.A.1.a.1.I20.D08,3,-0.03247980695563411,45
4.A.1.a.1.I20.D08,4,-0.015547102988346911,45
4.A.1.a.1.I20.D08,5,-0.009750469960966755,45
4.A.1.a.1.I22.D01,2,0.024799353089322653,45
4.A.1.a.1.I22.D01,3,0.00346139935627259,45
4.A.1.a.1.I22.D01,4,-0.011687403518523234,45
4.A.1.a.1.I22.D01,5,0.005889803679384444,45
4.A.1.a.1.I22.D02,1,-0.035207276785163215,45
4.A.1.a.1.I22.D02,2,-0.02759963477722248,45
4.A.1.a.1.I22.D02,3,-0.007216280219283088,45
4.A.1.a.1.I22.D02,4,-0.03599384465904309,45
4.A.1.a.1.I23.D01,1,-0.007165580420790171,45
4.A.1.a.1.I23.D01,2,0.0014815755855917478,45
4.A.1.a.1.I23.D01,3,-0.008865023148125008,45
4.A.1.a.1.I23.D01,4,-0.006215857745323785,45
4.A.1.a.1.I23.D01,5,-0.009044255563848792,45
4.A.1.a.1.I23.D03,1,-0.025323001001072258,45
4.A.1.a.1.I23.D03,2,-0.04171675550082527,45
4.A.1.a.1.I23.D03,3,-0.07973600334908466,45
4.A.1.a.1.I23.D03,4,-0.05030743367764124,45
4.A.1.a.1.I23.D03,5,-0.03430754742041823,45
4.A.1.a.1.I23.D05,2,0.03187550162220253,45
4.A.1.a.1.I23.D06,1,0.01435197848507373,45
4.A.1.a.1.I23.D07,2,-0.07344557397041737,45
4.A.1.a.1.I23.D07,3,-0.030507366839653334,45
4.A.1.a.1.I23.D07,4,0.0038876419144159816,45
4.A.1.a.1.I23.D07,5,0.018747952127260877,45
4.A.1.a.1.I23.D08,1,0.012759043094446807,45
4.A.1.a.1.I23.D08,2,0.04401704375688494,45
4.A.1.a.1.I23.D08,3,0.031297403405714755,45
4.A.1.a.1.I23.D08,4,0.010611826471238404,45
4.A.1.a.1.I23.D08,5,-0.0032025716641864216,45
4.A.1.a.1.I23.D09,1,9.789619669695374e-05,45
4.A.1.a.1.I23.D09,2,0.0033349890397280074,45
4.A.1.a.1.I23.D09,3,-0.005638238188489406,45
4.A.1.a.1.I23.D09,4,-0.005172997162092467,45
4.A.1.a.1.I23.D09,5,-0.014659001390326212,45
4.A.1.a.2.I01.D01,3,0.024332997852710793,45
4.A.1.a.2.I01.D01,4,0.011720483245434994,45
4.A.1.a.2.I01.D01,5,0.011314217087767272,45
4.A.1.a.2.I01.D02,1,-0.0010072406238546344,45
4.A.1.a.2.I01.D05,1,-0.018268821516615606,45
4.A.1.a.2.I01.D05,2,-0.0034400551513994937,45
4.A.1.a.2.I01.D05,3,0.0017255741126408896,45
4.A.1.a.2.I01.D05,4,-0.024389271822914678,45
4.A.1.a.2.I01.D05,5,-0.007314456384080543,45
4.A.1.a.2.I01.D06,1,0.0064825955119412705,45
4.A.1.a.2.I01.D06,2,-0.0013179946617461827,45
4.A.1.a.2.I01.D06,3,-0.009019605150300664,45
4.A.1.a.2.I01.D06,4,-0.005840007676261676,45
4.A.1.a.2.I01.D07,1,-0.016286718522289762,45
4.A.1.a.2.I01.D07,2,-0.014887856820227103,45
4.A.1.a.2.I01.D07,3,-0.012363555082881707,45
4.A.1.a.2.I01.D07,4,-0.01978470094703502,45
4.A.1.a.2.I01.D08,1,-0.011015343720880321,45
4.A.1.a.2.I01.D08,2,-0.02619063888626918,45
4.A.1.a.2.I01.D08,3,-0.00785852974490499,45
4.A.1.a.2.I01.D08,4,-0.00893711766951468,45
4.A.1.a.2.I01.D08,5,-0.01066195219263303,45
4.A.1.a.2.I01.D09,1,0.011139451816655216,45
4.A.1.a.2.I01.D10,1,-0.009765833904271316,45
4.A.1.a.2.I01.D10,2,-0.00170718814457062,45
4.A.1.a.2.I01.D10,3,0.004659265638834419,45
4.A.1.a.2.I01.D10,4,-0.02974749456613699,45
4.A.1.a.2.I01.D11,1,-0.0012577210609409906,45
4.A.1.a.2.I01.D11,2,-0.0005553378225105345,45
4.A.1.a.2.I01.D11,3,0.0012459136854094486,45
4.A.1.a.2.I01.D13,1,0.0020102466562795054,45
4.A.1.a.2.I01.D13,2,0.008477558854011859,45
4.A.1.a.2.I01.D13,3,-0.0020895959195245187,45
4.A.1.a.2.I01.D13,4,-0.0007392825379461642,45
4.A.1.a.2.I01.D13,5,0.006107572156345231,45
4.A.1.a.2.I02.D02,1,-0.009217329460964898,45
4.A.1.a.2.I02.D02,2,0.021489730300319605,45
4.A.1.a.2.I02.D02,3,-0.012058485407728147,45
4.A.1.a.2.I02.D02,4,0.0006083485178151352,45
4.A.1.a.2.I02.D02,5,-0.0026787619021580405,45
4.A.1.a.2.I02.D03,1,-0.032268032006529154,45
4.A.1.a.2.I02.D03,2,-0.02060623401882786,45
4.A.1.a.2.I02.D03,3,-0.01488593770439784,45
4.A.1.a.2.I02.D03,4,0.02612126335780055,45
4.A.1.a.2.I02.D03,5,-0.005645898309100877,45
4.A.1.a.2.I02.D04,1,-0.00222746165780101,45
4.A.1.a.2.I02.D05,1,-0.022118385349865072,45
4.A.1.a.2.I02.D05,2,0.0020776078719836996,45
4.A.1.a.2.I02.D05,3,0.006001904791480705,45
4.A.1.a.2.I02.D05,4,-0.004921825290700535,45
4.A.1.a.2.I02.D05,5,-0.00652034573056118,45
4.A.1.a.2.I02.D06,2,-0.0009431483465175717,45
4.A.1.a.2.I02.D06,3,-0.03135840287591645,45
4.A.1.a.2.I02.D06,4,-0.0019801501479123976,45
4.A.1.a.2.I02.D07,1,0.01013021949345002,45
4.A.1.a.2.I02.D07,2,0.0010935459470641114,45
4.A.1.a.2.I02.D07,3,0.053531522922840885,45
4.A.1.a.2.I02.D07,4,-0.02723674520792604,45
4.A.1.a.2.I02.D07,5,0.00920690099284185,45
4.A.1.a.2.I02.D09,1,0.14646107962187557,45
4.A.1.a.2.I02.D09,2,0.02369516774667137,45
4.A.1.a.2.I02.D09,3,0.016223347612802842,45
4.A.1.a.2.I02.D09,4,-0.0038010991514121394,45
4.A.1.a.2.I02.D09,5,0.013257581725081468,45
4.A.1.a.2.I02.D10,1,-0.007260980942624889,45
4.A.1.a.2.I02.D10,2,0.0010778364485598884,45
4.A.1.a.2.I02.D10,3,-0.003616440926231838,45
4.A.1.a.2.I02.D10,4,0.004198095716703465,45
4.A.1.a.2.I02.D10,5,0.013234956758707566,45
4.A.1.a.2.I02.D12,2,-0.025924968390996082,45
4.A.1.a.2.I02.D12,3,-0.007813970835803439,45
4.A.1.a.2.I02.D12,4,-0.015777256505967868,45
4.A.1.a.2.I02.D12,5,-0.019893154079663865,45
4.A.1.a.2.I02.D13,1,0.013615902018514734,45
4.A.1.a.2.I02.D13,2,0.02767434408699229,45
4.A.1.a.2.I02.D14,1,0.0074123354403628485,45
4.A.1.a.2.I02.D15,2,0.015885221813480933,45
4.A.1.a.2.I02.D15,3,0.023110414832697036,45
4.A.1.a.2.I02.D15,4,-0.005290921859859153,45
4.A.1.a.2.I02.D16,1,0.00966864845877954,45
4.A.1.a.2.I02.D16,2,0.003276355116690198,45
4.A.1.a.2.I02.D16,3,0.023602028882032656,45
4.A.1.a.2.I02.D16,4,-0.006006113546389953,45
4.A.1.a.2.I02.D16,5,0.020057307258793414,45
4.A.1.a.2.I02.D17,1,-0.011076168890683004,45
4.A.1.a.2.I02.D17,2,-0.012571428586510426,45
4.A.1.a.2.I02.D17,3,-0.021145336745914282,45
4.A.1.a.2.I02.D17,4,0.0013587589177662578,45
4.A.1.a.2.I02.D17,5,-0.007993268248903928,45
4.A.1.a.2.I03.D01,1,-0.01758557358328325,45
4.A.1.a.2.I03.D01,2,-0.035638827298875714,45
4.A.1.a.2.I03.D01,3,-0.05550988524441908,45
4.A.1.a.2.I03.D01,4,-0.015445520238902749,45
4.A.1.a.2.I03.D01,5,-0.015539515917197237,45
4.A.1.a.2.I03.D02,2,-0.026797914618469962,45
4.A.1.a.2.I03.D02,3,0.014376913749861591,45
4.A.1.a.2.I03.D02,4,0.0014617913933848241,45
4.A.1.a.2.I03.D02,5,0.007616599954704308,45
4.A.1.a.2.I03.D03,1,-0.026714593580868487,45
4.A.1.a.2.I03.D03,2,0.042518532212033,45
4.A.1.a.2.I03.D03,3,0.006093295418603005,45
4.A.1.a.2.I03.D03,4,-0.008577950088676192,45
4.A.1.a.2.I03.D03,5,-0.014712113885327349,45
4.A.1.a.2.I03.D04,2,0.008122174754565628,45
4.A.1.a.2.I03.D04,3,-0.025899244384213475,45
4.A.1.a.2.I03.D04,4,-0.008791940662277639,45
4.A.1.a.2.I03.D04,5,-0.001097598294594747,45
4.A.1.a.2.I03.D05,2,-0.026798408262507716,45
4.A.1.a.2.I03.D05,3,0.01437906566245611,45
4.A.1.a.2.I03.D05,4,0.0014554891939344752,45
4.A.1.a.2.I03.D05,5,0.00760942095324098,45
4.A.1.a.2.I05.D01,1,0.010051031240071439,45
4.A.1.a.2.I05.D01,2,0.013250194766670617,45
4.A.1.a.2.I05.D01,3,0.02464668261653698,45
4.A.1.a.2.I05.D01,4,0.014590927487188125,45
4.A.1.a.2.I05.D02,3,-0.03076125481332514,45
4.A.1.a.2.I05.D03,2,0.014376315351512568,45
4.A.1.a.2.I05.D03,3,0.024943184621934622,45
4.A.1.a.2.I05.D04,5,0.006966937927277477,45
4.A.1.a.2.I05.D05,1,0.0031490363840308132,45
4.A.1.a.2.I05.D05,2,0.016849834645967628,45
4.A.1.a.2.I05.D06,1,0.01163246726464122,45
4.A.1.a.2.I05.D07,1,0.005795907575256356,45
4.A.1.a.2.I05.D07,2,0.014849851286574916,45
4.A.1.a.2.I05.D07,3,0.028408668611172864,45
4.A.1.a.2.I05.D07,4,0.0032906460975694126,45
4.A.1.a.2.I06.D01,1,-0.03017178521610857,45
4.A.1.a.2.I06.D01,2,-0.02412739103449438,45
4.A.1.a.2.I06.D01,3,-0.0009380706865237207,45
4.A.1.a.2.I06.D01,4,0.015185532490432268,45
4.A.1.a.2.I06.D01,5,0.0019392957461242058,45
4.A.1.a.2.I06.D02,1,0.008155371029858204,45
4.A.1.a.2.I06.D02,2,0.05524046629538251,45
4.A.1.a.2.I06.D02,3,0.017063093745340287,45
4.A.1.a.2.I06.D02,4,0.018741804064847118,45
4.A.1.a.2.I06.D03,1,0.016616179803824304,45
4.A.1.a.2.I06.D03,2,0.028915391692810443,45
4.A.1.a.2.I06.D03,3,0.03905304244698552,45
4.A.1.a.2.I06.D03,4,0.04141285134577736,45
4.A.1.a.2.I06.D04,1,0.02249055667865786,45
4.A.1.a.2.I06.D05,1,2.16081767847755e-05,45
4.A.1.a.2.I06.D05,2,0.022848786733112473,45
4.A.1.a.2.I06.D05,3,0.011087040212612507,45
4.A.1.a.2.I06.D05,4,0.006679991796801494,45
4.A.1.a.2.I06.D05,5,0.018648710948465538,45
4.A.1.a.2.I06.D06,1,0.01032567679879128,45
4.A.1.a.2.I06.D06,2,0.0008600886777922494,45
4.A.1.a.2.I06.D06,3,-0.008624786382791351,45
4.A.1.a.2.I06.D06,4,-0.010803690984798013,45
4.A.1.a.2.I06.D06,5,-0.00929491057908959,45
4.A.1.a.2.I06.D07,1,0.012547437357682696,45
4.A.1.a.2.I07.D01,1,0.002071135678316916,45
4.A.1.a.2.I07.D01,4,0.006079815191172881,45
4.A.1.a.2.I07.D01,5,0.0033425830677558696,45
4.A.1.a.2.I07.D02,1,0.00667947225365677,45
4.A.1.a.2.I07.D02,2,0.05828823807547481,45
4.A.1.a.2.I07.D02,3,0.033468393088503225,45
4.A.1.a.2.I07.D05,1,0.008397541028040715,45
4.A.1.a.2.I07.D05,2,0.060005300693377714,45
4.A.1.a.2.I07.D05,3,0.03448885362470982,45
4.A.1.a.2.I07.D05,4,0.057795432705345894,45
4.A.1.a.2.I07.D06,1,-0.006886709257580434,45
4.A.1.a.2.I07.D06,2,0.04923100008950886,45
4.A.1.a.2.I07.D06,3,-0.0028870402011220734,45
4.A.1.a.2.I07.D06,4,-0.013975710142045145,45
4.A.1.a.2.I07.D06,5,-0.015334432294060646,45
4.A.1.a.2.I07.D07,1,0.007717542033986923,45
4.A.1.a.2.I07.D07,2,0.02930942794351615,45
4.A.1.a.2.I07.D07,3,-0.05004093277008344,45
4.A.1.a.2.I07.D07,4,0.0047364091544242455,45
4.A.1.a.2.I07.D07,5,0.040853945826386545,45
4.A.1.a.2.I07.D09,1,0.00524824201839991,45
4.A.1.a.2.I07.D09,2,0.010850345888033132,45
4.A.1.a.2.I07.D09,3,0.024251007425233798,45
4.A.1.a.2.I07.D09,4,-0.021028843662526223,45
4.A.1.a.2.I07.D09,5,-0.006775763845835742,45
4.A.1.a.2.I07.D12,1,-0.008254793662362335,45
4.A.1.a.2.I07.D13,1,-0.019867508798715797,45
4.A.1.a.2.I07.D13,2,-0.022063119521328355,45
4.A.1.a.2.I07.D13,3,-0.0041375511260715835,45
4.A.1.a.2.I07.D13,4,-0.017075455451520342,45
4.A.1.a.2.I07.D13,5,-0.014164985857502062,45
4.A.1.a.2.I08.D01,1,-0.005104503917692921,45
4.A.1.a.2.I08.D01,2,-0.00959219722655992,45
4.A.1.a.2.I08.D01,3,-0.013598100105567373,45
4.A.1.a.2.I08.D01,4,0.00732066324274387,45
4.A.1.a.2.I08.D01,5,-0.0037803031836105374,45
4.A.1.a.2.I08.D02,1,-0.026307887109504845,45
4.A.1.a.2.I08.D02,2,-0.01098149782951318,45
4.A.1.a.2.I08.D02,3,-0.021396730065158857,45
4.A.1.a.2.I08.D02,4,0.004135818107207474,45
4.A.1.a.2.I08.D02,5,-0.024036906944559483,45
4.A.1.a.2.I08.D03,2,-0.06770051729092079,45
4.A.1.a.2.I08.D03,3,-0.03229909071429063,45
4.A.1.a.2.I08.D03,4,-0.0026154421117183637,45
4.A.1.a.2.I08.D03,5,-0.0017596579917932994,45
4.A.1.a.2.I10.D01,1,0.09462486208605211,45
4.A.1.a.2.I10.D01,2,-0.005861836720083441,45
4.A.1.a.2.I10.D01,3,0.03323095009206353,45
4.A.1.a.2.I10.D01,4,0.016028226974319257,45
4.A.1.a.2.I10.D01,5,0.02685105462404841,45
4.A.1.a.2.I10.D02,1,0.004509207782576864,45
4.A.1.a.2.I10.D02,2,-0.0026324296442840887,45
4.A.1.a.2.I10.D02,3,-0.00909424824920899,45
4.A.1.a.2.I10.D02,4,-0.0045609403891052665,45
4.A.1.a.2.I10.D02,5,0.004777349504495709,45
4.A.1.a.2.I10.D03,1,0.010166452000762853,45
4.A.1.a.2.I10.D03,2,0.01149637329103302,45
4.A.1.a.2.I10.D03,3,0.04313411951595029,45
4.A.1.a.2.I10.D03,4,0.028991937233934208,45
4.A.1.a.2.I10.D03,5,0.007379801237589499,45
4.A.1.a.2.I11.D01,2,-0.03556503561592707,45
4.A.1.a.2.I11.D01,3,-0.016246094507870415,45
4.A.1.a.2.I11.D01,4,-0.004188948478811032,45
4.A.1.a.2.I11.D01,5,0.016054082920629122,45
4.A.1.a.2.I11.D03,1,-0.011882265857889844,45
4.A.1.a.2.I11.D03,2,0.03476522665793171,45
4.A.1.a.2.I11.D03,3,-0.051433827331383915,45
4.A.1.a.2.I11.D03,4,0.0031830608418348233,45
4.A.1.a.2.I11.D03,5,0.03937385150617454,45
4.A.1.a.2.I11.D04,1,-0.013782141514411051,45
4.A.1.a.2.I11.D04,2,-0.001056259194252871,45
4.A.1.a.2.I11.D04,3,-0.002504036873793599,45
4.A.1.a.2.I11.D04,4,-0.0010403842020862096,45
